 BurlCamera/loc08,43.316623,-79.808464, QEW N of Hwy 2
 BurlCamera/loc09,43.327831,-79.824901, QEW near Fairview St
 BurlCamera/loc10,43.336509,-79.828291, QEW near Hwy 403
 BurlCamera/loc11,43.331811,-79.838805, 403 near King Rd
 BurlCamera/loc12,43.339974,-79.824729, QEW W of Brant St
 BurlCamera/loc13,43.342596,-79.819322, QEW E of Brant St
 BurlCamera/loc14,43.350991,-79.804387, QEW near Guelph Line
 BurlCamera/loc15,43.358979,-79.795504, QEW btn Guelph Ln and Walkers Ln
 BurlCamera/loc16,43.365999,-79.787822, QEW near Walkers Ln
 BurlCamera/loc17,43.37567,-79.77705, QEW btn Walkers Ln and Appleby Ln
 BurlCamera/loc18,43.380567,-79.771857, QEW near Appleby Ln
 BurlCamera/loc19,43.387741,-79.763918, QEW btn Appleby Ln and Burloak Dr
 BurlCamera/loc20,43.39482,-79.756279, QEW near Burloak Dr
 BurlCamera/loc21,43.402927,-79.74761, QEW btn Burloak Dr and Bronte Rd
 BurlCamera/loc22,43.409256,-79.740829, QEW near Bronte Rd
 BurlCamera/loc23,43.413839,-79.735937, QEW btn Bronte Rd and 3rd Ln
 BurlCamera/loc24,43.423658,-79.724908, QEW near 3rd Ln
 BurlCamera/loc25,43.438431,-79.708686, QEW near 4th Ln
 BurlCamera/loc26,43.442544,-79.704137, QEW E of 4th Ln
 BurlCamera/loc27,43.446158,-79.699845, QEW near Dorval Dr
 BurlCamera/loc28,43.453417,-79.691777, QEW east of Dorval Dr
 BurlCamera/loc29,43.460956,-79.683623, QEW near Trafalgar Rd
 BurlCamera/loc63,43.325022,-79.8458, 403 W of King Rd
 BurlCamera/loc100,43.250079,-79.763832, QEW near Red Hill Creek
 BurlCamera/loc101,43.246828,-79.756794, QEW near Centennial Pkwy
 BurlCamera/loc102,43.241952,-79.736366, QEW near Grays Rd
 BurlCamera/loc103,43.236887,-79.716024, QEW near Millen Rd
 BurlCamera/loc31,43.473415,-79.671822, QEW near Royal Windsor Dr
 BurlCamera/loc32,43.494589,-79.672165, QEW near Ford Plant
 BurlCamera/loc33,43.501126,-79.678602, QEW near Hwy 403
 BurlCamera/loc34,43.509095,-79.663153, QEW near Winston Churchill Blvd
 BurlCamera/loc35,43.516564,-79.655514, QEW btn Winston Churchill Blvd and Erin Mills Pkwy
 BurlCamera/loc36,43.523846,-79.647446, QEW near Erin Mills Pkwy
 BurlCamera/loc37,43.535794,-79.634228, QEW near Erin Mills Pkwy and Mississauga Rd
 BurlCamera/loc38,43.552218,-79.612513, QEW near Mississauga Rd
 BurlCamera/loc39,43.558128,-79.607964, QEW btn Mississauga Rd and Hwy 10
 BurlCamera/loc40,43.567768,-79.599209, QEW near Hwy 10
 BurlCamera/loc41,43.575354,-79.591312, QEW btn Hwy 10 and Cawthra Rd
 BurlCamera/loc42,43.583064,-79.582644, QEW near Cawthra Rd
 BurlCamera/loc43,43.589157,-79.576206, QEW btn Cawthra Rd and Dixie Rd
 BurlCamera/loc44,43.596182,-79.568567, QEW near Dixie Rd
 BurlCamera/loc45,43.60277,-79.561357, QEW near Etobicoke Creek
 BurlCamera/loc46,43.606189,-79.557409, QEW near The West Mall
 BurlCamera/loc47,43.613584,-79.544706, QEW S of Hwy 427
 BurlCamera/loc48,43.61812,-79.55389, QEW N of Hwy 427
 BurlCamera/loc79,43.585489,-79.660106, 403 near Mavis Rd
 BurlCamera/loc77,43.571219,-79.674139, 403 near Creditview Rd
 BurlCamera/loc74,43.553773,-79.69624, 403 near Erin Mills Pkwy
 BurlCamera/loc72,43.542887,-79.709244, 403 near Winston Churchill Blvd
 BurlCamera/loc70,43.53158411,-79.72297345, 403 near 403/407 split
 BurlCamera/loc71,43.53651894,-79.71679345, 403 near West of Winston Church Blvd.
 BurlCamera/loc73,43.54865411,-79.70245656, 403 near Glen Erin Dr.
 BurlCamera/loc75,43.55929519,-79.68789528, 403 near West of Mississauga Rd.
 BurlCamera/loc76,43.56500703,-79.67990384, 403 near East of Mississauga Rd
 BurlCamera/loc78,43.57868583,-79.66743132, 403 near West of Mavis Rd
 BurlCamera/loc80,43.59371769,-79.65151617, 403 near West of Hwy 10
 BurlCamera/loc68,43.51253748,-79.69330189, 403 near Dundas St.
 BurlCamera/loc88,43.180521,-79.267473, QEW near Ontario St
 BurlCamera/loc89,43.175264,-79.246273, QEW near Lake St St
 BurlCamera/loc90,43.172635,-79.232454, QEW near Niagara St - East side of Overpass
 BurlCamera/loc84,43.17939,-79.30924, QEW at Seventh St.
 BurlCamera/loc85,43.17803,-79.2853, 406 N/B ramp to Toronto
 BurlCamera/loc86,43.17576,-79.28522, 406 S/B at QEW/406
 BurlCamera/loc92,43.167251,-79.210138, QEW near Bunting Rd.
 BurlCamera/loc93,43.167251,-79.210138, QEW Skyway West
 BurlCamera/loc94,43.16531,-79.187994, QEW Skyway East
 BurlCamera/loc95,43.158048,-79.164047, QEW near Glendale Ave
 BurlCamera/loc96,43.152162,-79.147997, QEW at Sandplant Hill/405/QEW split
 BurlCamera/loc97,43.134439,-79.129715, QEW S of Mountain Rd
 BurlCamera/loc98,43.152413,-79.134264, 405 E of Concession 6 Rd
 BurlCamera/loc99,43.152256,-79.125166, 405 E of Warner Rd
 BurlCamera/loc57,43.145525,-79.10079, 405 E of St Paul Ave
 BurlCamera/loc58,43.147716,-79.088001, 405 E of Stanley Ave
 BurlCamera/loc59,43.154229,-79.072895, 405 btn Stanley Ave and Niagara River
 BurlCamera/loc60,43.157234,-79.051352, 405 W of Niagara River
 BurlCamera/loc55,42.93349,-78.985176, QEW near Bowen Rd
 BurlCamera/loc56,42.910989,-78.942089, QEW W of Thompson Rd
 BurlCamera/loc106,43.115129,-79.18484, WB Thorold Tunnel near E of entrance
 BurlCamera/loc105,43.11509,-79.185569, WB Thorold Tunnel at the entrance
 BurlCamera/loc122,43.11574,-79.187264, WB Thorold Tunnel near W of entrance
 BurlCamera/loc108,43.11599,-79.191449, WB Thorold Tunnel near E of Welland Canal
 BurlCamera/loc109,43.116022,-79.196362, WB Thorold Tunnel near W of Welland Canal
 BurlCamera/loc110,43.11556,-79.202456, EB Thorold Tunnel near W of entrance
 BurlCamera/loc107,43.115873,-79.200171, EB Thorold Tunnel at the entrance
 BurlCamera/loc111,43.115708,-79.198058, EB Thorold Tunnel near E of entrance
 BurlCamera/loc112,43.115661,-79.195, EB Thorold Tunnel near W of Welland Canal
 BurlCamera/loc121,43.115567,-79.190494, EB Thorold Tunnel near E of Welland Canal
 OttaCamera/loc01,45.42333,-75.617586, 417 near Ottawa Rd 174
 OttaCamera/loc02,45.4188432,-75.647256, 417 btn St Laurent Blvd and Vanier Pkwy
